ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     6 Jun 25 17:53:18 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
LO-19                9 Jun 25 17:58:32   9 Jun 25 18:13:24    70ø
LO-19                9 Jun 25 19:39:43   9 Jun 25 19:49:29     7ø
LO-19               10 Jun 25 05:03:17  10 Jun 25 05:17:22    30ø
LO-19               10 Jun 25 06:42:50  10 Jun 25 06:55:59    19ø
LO-19               10 Jun 25 17:26:06  10 Jun 25 17:40:03    28ø
LO-19               10 Jun 25 19:05:29  10 Jun 25 19:18:34    20ø
LO-19               11 Jun 25 04:31:48  11 Jun 25 04:43:37    13ø
LO-19               11 Jun 25 06:09:07  11 Jun 25 06:23:50    46ø
LO-19               11 Jun 25 16:54:23  11 Jun 25 17:05:49    11ø

AO-27                6 Jun 25 20:32:44   6 Jun 25 20:44:02    10ø
AO-27                6 Jun 25 22:10:29   6 Jun 25 22:25:14    51ø
AO-27                7 Jun 25 07:41:51   7 Jun 25 07:48:17     3ø
AO-27                7 Jun 25 09:16:08   7 Jun 25 09:31:09    72ø
AO-27                7 Jun 25 10:58:26   7 Jun 25 11:08:01     7ø
AO-27                7 Jun 25 20:05:45   7 Jun 25 20:11:04     2ø
AO-27                7 Jun 25 21:40:37   7 Jun 25 21:55:36    72ø
AO-27                7 Jun 25 23:22:06   7 Jun 25 23:31:50     7ø
AO-27                8 Jun 25 08:46:49   8 Jun 25 09:01:03    32ø
AO-27                8 Jun 25 10:26:45   8 Jun 25 10:39:47    18ø
AO-27                8 Jun 25 21:11:09   8 Jun 25 21:25:25    32ø
AO-27                8 Jun 25 22:50:58   8 Jun 25 23:03:53    18ø
AO-27                9 Jun 25 08:18:10   9 Jun 25 08:30:31    15ø
AO-27                9 Jun 25 09:56:06   9 Jun 25 10:10:42    39ø
AO-27                9 Jun 25 20:42:14   9 Jun 25 20:54:34    14ø
AO-27                9 Jun 25 22:20:33   9 Jun 25 22:35:02    39ø
AO-27               10 Jun 25 07:50:33  10 Jun 25 07:59:10     5ø
AO-27               10 Jun 25 09:26:04  10 Jun 25 09:41:08    88ø
AO-27               10 Jun 25 11:09:25  10 Jun 25 11:17:05     4ø
AO-27               10 Jun 25 20:14:24  10 Jun 25 20:22:29     4ø
AO-27               10 Jun 25 21:50:34  10 Jun 25 22:05:35    87ø
AO-27               10 Jun 25 23:32:45  10 Jun 25 23:40:52     5ø
AO-27               11 Jun 25 08:56:34  11 Jun 25 09:11:10    41ø

FO-29                6 Jun 25 20:57:56   6 Jun 25 21:09:57    12ø
FO-29                6 Jun 25 22:40:56   6 Jun 25 22:56:13    47ø
FO-29                7 Jun 25 08:22:51   7 Jun 25 08:26:53     1ø
FO-29                7 Jun 25 10:00:07   7 Jun 25 10:20:33    47ø
FO-29                7 Jun 25 11:45:37   7 Jun 25 12:04:14    26ø
FO-29                7 Jun 25 21:45:50   7 Jun 25 22:01:03    42ø
FO-29                7 Jun 25 23:32:25   7 Jun 25 23:44:41    13ø
FO-29                8 Jun 25 09:06:36   8 Jun 25 09:23:26    16ø
FO-29                8 Jun 25 10:49:43   8 Jun 25 11:10:34    72ø
FO-29                8 Jun 25 12:37:32   8 Jun 25 12:50:34     8ø
FO-29                8 Jun 25 20:52:46   8 Jun 25 21:04:29    11ø
FO-29                8 Jun 25 22:35:26   8 Jun 25 22:50:58    53ø
FO-29                9 Jun 25 09:54:53   9 Jun 25 10:15:12    44ø
FO-29                9 Jun 25 11:40:13   9 Jun 25 11:59:10    28ø
FO-29                9 Jun 25 21:40:28   9 Jun 25 21:55:43    38ø
FO-29                9 Jun 25 23:26:43   9 Jun 25 23:39:36    15ø
FO-29               10 Jun 25 09:01:33  10 Jun 25 09:17:52    14ø
FO-29               10 Jun 25 10:44:25  10 Jun 25 11:05:20    77ø
FO-29               10 Jun 25 12:31:57  10 Jun 25 12:45:46     9ø
FO-29               10 Jun 25 20:47:36  10 Jun 25 20:59:01    10ø
FO-29               10 Jun 25 22:29:57  10 Jun 25 22:45:44    59ø
FO-29               11 Jun 25 09:49:41  11 Jun 25 10:09:49    40ø
FO-29               11 Jun 25 11:34:50  11 Jun 25 11:54:04    31ø

GO-32                6 Jun 25 18:11:42   6 Jun 25 18:18:26     3ø
GO-32                7 Jun 25 02:03:54   7 Jun 25 02:07:57     1ø
GO-32                7 Jun 25 03:37:13   7 Jun 25 03:52:21    57ø
GO-32                7 Jun 25 05:19:11   7 Jun 25 05:30:16    10ø
GO-32                7 Jun 25 14:30:50   7 Jun 25 14:34:00     0ø
GO-32                7 Jun 25 16:04:59   7 Jun 25 16:20:13    62ø
GO-32                7 Jun 25 17:46:27   7 Jun 25 17:57:21     9ø
GO-32                8 Jun 25 03:14:13   8 Jun 25 03:28:36    31ø
GO-32                8 Jun 25 04:54:26   8 Jun 25 05:07:52    19ø
GO-32                8 Jun 25 15:41:48   8 Jun 25 15:56:25    33ø
GO-32                8 Jun 25 17:22:04   8 Jun 25 17:35:14    19ø
GO-32                9 Jun 25 02:51:37   9 Jun 25 03:04:35    17ø
GO-32                9 Jun 25 04:30:16   9 Jun 25 04:44:58    36ø
GO-32                9 Jun 25 15:18:57   9 Jun 25 15:32:12    18ø
GO-32                9 Jun 25 16:58:05   9 Jun 25 17:12:35    33ø
GO-32               10 Jun 25 02:29:35  10 Jun 25 02:40:08     9ø
GO-32               10 Jun 25 04:06:30  10 Jun 25 04:21:46    67ø
GO-32               10 Jun 25 05:51:58  10 Jun 25 05:56:35     1ø
GO-32               10 Jun 25 14:56:37  10 Jun 25 15:07:24     9ø
GO-32               10 Jun 25 16:34:22  10 Jun 25 16:49:33    62ø
GO-32               10 Jun 25 18:18:20  10 Jun 25 18:23:30     2ø
GO-32               11 Jun 25 02:08:46  11 Jun 25 02:14:45     2ø
GO-32               11 Jun 25 03:43:05  11 Jun 25 03:58:18    66ø

NO-44                7 Jun 25 02:49:47   7 Jun 25 02:59:33     7ø
NO-44                7 Jun 25 04:29:32   7 Jun 25 04:45:09    76ø
NO-44                7 Jun 25 06:16:49   7 Jun 25 06:25:34     5ø
NO-44                7 Jun 25 13:30:47   7 Jun 25 13:40:55     7ø
NO-44                7 Jun 25 15:11:45   7 Jun 25 15:27:19    85ø
NO-44                7 Jun 25 16:58:15   7 Jun 25 17:06:07     4ø
NO-44                8 Jun 25 02:19:51   8 Jun 25 02:25:27     2ø
NO-44                8 Jun 25 03:57:25   8 Jun 25 04:12:59    69ø
NO-44                8 Jun 25 05:43:03   8 Jun 25 05:54:27     9ø
NO-44                8 Jun 25 12:59:59   8 Jun 25 13:06:51     3ø
NO-44                8 Jun 25 14:39:38   8 Jun 25 14:55:07    61ø
NO-44                8 Jun 25 16:24:41   8 Jun 25 16:35:39     9ø
NO-44                9 Jun 25 03:25:30   9 Jun 25 03:40:41    43ø
NO-44                9 Jun 25 05:09:52   9 Jun 25 05:22:58    15ø
NO-44                9 Jun 25 14:07:38   9 Jun 25 14:22:44    39ø
NO-44                9 Jun 25 15:51:38   9 Jun 25 16:04:34    16ø
NO-44               10 Jun 25 02:53:47  10 Jun 25 03:08:14    28ø
NO-44               10 Jun 25 04:37:00  10 Jun 25 04:51:16    23ø
NO-44               10 Jun 25 13:35:46  10 Jun 25 13:50:09    25ø
NO-44               10 Jun 25 15:18:57  10 Jun 25 15:33:08    25ø
NO-44               11 Jun 25 02:22:18  11 Jun 25 02:35:37    18ø
NO-44               11 Jun 25 04:04:22  11 Jun 25 04:19:25    35ø
NO-44               11 Jun 25 13:04:02  11 Jun 25 13:17:20    17ø

SO-50                6 Jun 25 18:53:49   6 Jun 25 19:04:35    10ø
SO-50                6 Jun 25 20:32:25   6 Jun 25 20:46:16    52ø
SO-50                7 Jun 25 08:52:02   7 Jun 25 09:04:51    38ø
SO-50                7 Jun 25 10:33:06   7 Jun 25 10:43:50    12ø
SO-50                7 Jun 25 19:11:42   7 Jun 25 19:24:48    26ø
SO-50                7 Jun 25 20:51:48   7 Jun 25 21:04:16    20ø
SO-50                8 Jun 25 07:34:15   8 Jun 25 07:41:16     4ø
SO-50                8 Jun 25 09:10:34   8 Jun 25 09:23:50    73ø
SO-50                8 Jun 25 10:54:40   8 Jun 25 11:00:44     3ø
SO-50                8 Jun 25 17:53:19   8 Jun 25 17:59:52     3ø
SO-50                8 Jun 25 19:30:08   8 Jun 25 19:44:09    67ø
SO-50                8 Jun 25 21:12:13   8 Jun 25 21:21:09     6ø
SO-50                9 Jun 25 07:50:42   9 Jun 25 08:01:59    16ø
SO-50                9 Jun 25 09:29:48   9 Jun 25 09:42:19    26ø
SO-50                9 Jun 25 18:10:13   9 Jun 25 18:21:25    12ø
SO-50                9 Jun 25 19:49:02   9 Jun 25 20:02:47    45ø
SO-50               10 Jun 25 08:08:31  10 Jun 25 08:21:28    44ø
SO-50               10 Jun 25 09:49:54  10 Jun 25 10:00:14    10ø
SO-50               10 Jun 25 18:28:11  10 Jun 25 18:41:29    29ø
SO-50               10 Jun 25 20:08:30  10 Jun 25 20:20:39    17ø
SO-50               11 Jun 25 06:50:19  11 Jun 25 06:58:14     5ø
SO-50               11 Jun 25 08:27:08  11 Jun 25 08:40:22    63ø
